Date,Open,High,Low,Close,Volume,Daily_Return,MA_5,MA_20,MA_60,Volatility_20
2024-01-01,100,103,98,101,1200000,,101.0,101.0,101.0,
2024-01-02,101,104,99,103,1250000,0.01980198019801982,102.0,102.0,102.0,
2024-01-03,103,105,100,102,1180000,-0.009708737864077666,102.0,102.0,102.0,0.020867228859393464
2024-01-04,102,106,101,105,1320000,0.02941176470588225,102.75,102.75,102.75,0.020386450402797768
2024-01-05,105,108,103,107,1400000,0.01904761904761898,103.6,103.6,103.6,0.016903049032048957
2024-01-06,107,109,104,106,1350000,-0.009345794392523366,104.6,104.0,104.0,0.01814747310860679
2024-01-07,106,110,105,109,1500000,0.028301886792452935,105.8,104.71428571428571,104.71428571428571,0.01789589599370694
2024-01-08,109,112,107,111,1600000,0.0183486238532109,107.6,105.5,105.5,0.016465078860194826
2024-01-09,111,113,108,110,1550000,-0.009009009009009028,108.6,106.0,106.0,0.017227832503313893
2024-01-10,110,114,109,113,1700000,0.027272727272727337,109.8,106.7,106.7,0.01701892244858347
2024-01-11,113,116,111,115,1800000,0.017699115044247815,111.6,107.45454545454545,107.45454545454545,0.01612389899802064
2024-01-12,115,117,112,114,1720000,-0.008695652173912993,112.6,108.0,108.0,0.016658155551867837
2024-01-13,114,118,113,117,1900000,0.026315789473684292,113.8,108.6923076923077,108.6923076923077,0.016471954554770664
2024-01-14,117,120,115,119,2000000,0.017094017094017033,115.6,109.42857142857143,109.42857142857143,0.01582312986981225
2024-01-15,119,121,116,118,1950000,-0.008403361344537785,116.6,110.0,110.0,0.016225179275024322
2024-01-16,118,122,117,121,2100000,0.025423728813559254,117.8,110.6875,110.6875,0.01605491655987449
2024-01-17,121,124,119,123,2200000,0.016528925619834656,119.6,111.41176470588235,111.41176470588235,0.01554759218043527
2024-01-18,123,125,120,122,2150000,-0.008130081300813052,120.6,112.0,112.0,0.015864036114147006
2024-01-19,122,126,121,125,2300000,0.024590163934426146,121.8,112.6842105263158,112.6842105263158,0.01570633888010559
2024-01-20,125,128,123,127,2400000,0.016000000000000014,123.6,113.4,113.4,0.015290963576301626
2024-01-21,127,129,124,126,2350000,-0.007874015748031482,124.6,114.65,114.0,0.015547814844159246
2024-01-22,126,130,125,129,2500000,0.023809523809523725,125.8,115.95,114.68181818181819,0.015689237021514542
2024-01-23,129,132,127,131,2600000,0.015503875968992276,127.6,117.4,115.3913043478261,0.014893768944327514
2024-01-24,131,133,128,130,2550000,-0.007633587786259555,128.6,118.65,116.0,0.01500843351625391
2024-01-25,130,134,129,133,2700000,0.023076923076922995,129.8,119.95,116.68,0.015150744360140496
2024-01-26,133,136,131,135,2800000,0.015037593984962516,131.6,121.4,117.38461538461539,0.014385388703586119
2024-01-27,135,137,132,134,2750000,-0.007407407407407418,132.6,122.65,118.0,0.014505461883554617
2024-01-28,134,138,133,137,2900000,0.02238805970149249,133.8,123.95,118.67857142857143,0.014648247434742665
2024-01-29,137,140,135,139,3000000,0.014598540145985384,135.6,125.4,119.37931034482759,0.013910832357348695
2024-01-30,139,141,136,138,2950000,-0.007194244604316502,136.6,126.65,120.0,0.01403531203632902
2024-01-31,138,142,137,141,3100000,0.021739130434782705,137.8,127.95,120.6774193548387,0.01417823079587945
2024-02-01,141,144,139,143,3200000,0.014184397163120588,139.6,129.4,121.375,0.013466809569859873
2024-02-02,143,145,140,142,3150000,-0.006993006993006978,140.6,130.65,122.0,0.01359485500107921
2024-02-03,142,146,141,145,3300000,0.021126760563380254,141.8,131.95,122.67647058823529,0.01373762496826327
2024-02-04,145,148,143,147,3400000,0.01379310344827589,143.6,133.4,123.37142857142857,0.013050446053234827
2024-02-05,147,149,144,146,3350000,-0.006802721088435382,144.6,134.65,124.0,0.013181349282475953
2024-02-06,146,150,145,149,3500000,0.020547945205479534,145.8,135.95,124.67567567567568,0.013323737538075564
